abducere,abduc
abire,abe
accedere,acced
accendere,accend
accidere,accidi
accipere,accipi
accurrere,accurr
addere,add
adducere,adduc
adhibere,adhibe
adire,ade
administrare,administr
admittere,admitt
aedificare,aedific
afferre,affer
afficere,affici
agere,ag
agitare,agit
amare,am
ambulare,ambul
amittere,amitt
animadvertere,animadvert
aperire,aperi
apparere,appare
appellare,appell
apportare,apport
appropinquare,appropinqu
arcere,arce
arcessere,arcess
ardere,arde
ascendere,ascend
aspicere,aspici
audere,aude
audire,audi
augere,auge
bibere,bib
cadere,cad
caedere,caed
canere,can
capere,capi
carere,care
cedere,ced
celebrare,celebr
cenare,cen
censere,cense
cernere,cern
certare,cert
cessare,cess
circumdare,circumd
circumstare,circumst
circumvenire,circumveni
clamare,clam
claudere,claud
cogere,cog
cogitare,cogit
cognoscere,cognosc
colere,col
colligere,collig
collocare,colloc
committere,committ
commovere,commove
comperire,comperi
componere,compon
comprehendere,comprehend
conciliare,concili
condere,cond
conficere,confici
confidere,confid
confirmare,confirm
coniungere,coniung
consentire,consenti
conservare,conserv
considere,consid
consistere,consist
conspicere,conspici
constituere,constitu
consulere,consul
consumere,consum
contemnere,contemn
contendere,contend
continere,contine
contingere,conting
convenire,conveni
corripere,corripi
corrumpere,corrump
credere,cred
crescere,cresc
cupere,cupi
currere,curr
custodire,custodi
damnare,damn
dare,d
debere,debe
decedere,deced
decipere,decipi
dedere,ded
deducere,deduc
defendere,defend
deficere,defici
delectare,delect
delere,dele
deliberare,deliber
deponere,depon
descendere,descend
deserere,deser
desinere,desin
desperare,desper
despicere,despici
destinare,destin
detegere,deteg
dicere,dic
differre,differ
dimittere,dimitt
discedere,disced
discere,disc
disserere,disser
docere,doce
donare,don
dormire,dormi
dubitare,dubit
ducere,duc
edere,ed
efferre,effer
efficere,effici
effodere,effodi
effugere,effugi
emere,em
eripere,eripi
errare,err
excedere,exced
excipere,excipi
excitare,excit
exercere,exerce
exire,exe
existimare,existim
explanare,explan
exponere,expon
expugnare,expugn
exspectare,exspect
exstinguere,exstingu
exstruere,exstru
facere,faci
fallere,fall
favere,fave
ferre,fer
figere,fig
fingere,fing
finire,fini
flere,fle
florere,flore
fluere,flu
frangere,frang
fugare,fug
fugere,fugi
fulgere,fulge
fundere,fund
gaudere,gaude
generare,gener
gerere,ger
habere,habe
horrere,horre
iacere,iace
iactare,iact
id agere,ut
ignorare,ignor
ignoscere,ignosc
impellere,impell
imponere,impon
incedere,inced
incendere,incend
incipere,incipi
incitare,incit
indicare,indic
inducere,induc
inire,ine
iniungere,iniung
inspicere,inspici
instare,inst
instituere,institu
intellegere,intelleg
interficere,interfici
interrumpere,interrump
intrare,intr
invadere,invad
invenire,inveni
invitare,invit
ire,e
irridere,irride
iubere,iube
iudicare,iudic
iurare,iur
laborare,labor
laedere,laed
latere,late
laudare,laud
legere,leg
ludere,lud
mandare,mand
manere,mane
memorare,memor
merere,mere
metuere,metu
minuere,minu
mittere,mitt
monere,mone
movere,move
multiplicare,multiplic
munire,muni
mutare,mut
narrare,narr
navigare,navig
necare,nec
negare,neg
neglegere,negleg
nescire,nesci
nocere,noce
nominare,nomin
nuntiare,nunti
observare,observ
obsidere,obside
obtinere,obtine
occidere,óccid
occurrere,occurr
offendere,offend
offerre,offer
omittere,omitt
opprimere,opprim
oppugnare,oppugn
orare,or
ornare,orn
ostendere,ostend
pacare,pac
parare,par
parcere,parc
parere,pare
parere,pari
patere,pate
pellere,pell
perferre,perfer
perficere,perfici
pergere,perg
perire,pere
perspicere,perspici
persuadere,persuade
perterrere,perterre
perturbare,perturb
pervenire,perveni
petere,pet
placere,place
plaudere,plaud
ponere,pon
portare,port
poscere,posc
postulare,postul
praebere,praebe
praecipere,praecipi
praecipitare,praecipit
praeferre,praefer
praestare,praest
praeterire,praetere
premere,prem
probare,prob
procedere,proced
prohibere,prohibe
proicere,proici
promittere,promitt
properare,proper
protegere,proteg
pugnare,pugn
putare,put
quaerere,quaer
quiescere,quiesc
rapere,rapi
recipere,recipi
recitare,recit
recreare,recre
recusare,recus
reddere,redd
redire,rede
reducere,reduc
referre,refer
regere,reg
relinquere,relinqu
repellere,repell
reperire,reperi
repetere,repet
respicere,respici
respondere,responde
restare,rest
retinere,retine
ridere,ride
rogare,rog
ruere,ru
rumpere,rump
sacrificare,sacrific
salutare,salut
scire,sci
scribere,scrib
se continere,se contine
se fingere,se finge
se praebere,se praebe
sedere,sede
sentire,senti
servare,serv
servire,servi
simulare,simul
solere,sole
sollicitare,sollicit
solvere,solv
spargere,sparg
spectare,spect
sperare,sper
spirare,spir
stare,st
statuere,statu
stringere,string
studere,stude
suadere,suade
subire,sube
succedere,succed
sumere,sum
superare,super
surgere,surg
suscipere,suscipi
sustinere,sustine
tacere,tace
tangere,tang
tegere,teg
temptare,tempt
tendere,tend
tenere,tene
terrere,terre
timere,time
tolerare,toler
tollere,toll
tradere,trad
trahere,trah
traicere,traici
transire,transe
tribuere,tribu
valere,vale
vendere,vend
venire,veni
verberare,verber
vertere,vert
videre,vide
vincere,vinc
vindicare,vindic
vitam agere,vitam age
vitare,vit
vivere,viv
vocare,voc
volare,vol
volvere,volv
